sms;label;split
"""CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO""
";0;test
"""Life is nothing wen v get everything"". But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng
";0;test
"Yo, the game almost over? Want to go to walmart soon
";0;test
"Shall i ask one thing if you dont mistake me.
";0;dev
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! 
";0;test
"FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
";1;dev
"Nope, I'm still in the market
";0;test
"Oops my phone died and I didn't even know. Yeah I like it better.
";0;test
"All day working day:)except saturday and sunday..
";0;test
"Where is that one day training:-)
";0;test
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.
";0;test
"Yavnt tried yet and never played original either
";0;test
"Aight, can you text me the address?
";0;test
"Where at were hungry too
";0;test
"And I don't plan on staying the night but I prolly won't be back til late
";0;test
"Sorry, I'll call you  later. I am in meeting sir.
";0;test
"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.
";0;test
"But i haf enuff space got like 4 mb...
";0;test
"SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
";1;test
"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit
";0;test
"So what about you. What do you remember
";0;test
"O. Guess they both got screwd
";0;test
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT
";1;dev
"I'll probably be by tomorrow (or even later tonight if something's going on)
";0;test
"Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
";0;test
"I will vote for wherever my heart guides me
";0;test
"Can do lor...
";0;test
"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk
";1;test
"""Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?""
";0;test
"That's necessarily respectful
";0;test
"YO YO YO BYATCH WHASSUP?
";0;test
"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?
";0;test
"Wow v v impressed. Have funs shopping!
";0;test
"You have an important customer service announcement from PREMIER.
";1;test
"I want to lick your pussy now...
";0;test
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.
";1;test
"Poor girl can't go one day lmao
";0;test
"Free any day but i finish at 6 on mon n thurs...
";0;test
"Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
";1;test
"Good. do you think you could send me some pix? I would love to see your top and bottom...
";0;test
"I'm glad. You are following your dreams.
";0;test
"Gr8. So how do you handle the victoria island traffic. Plus when's the album due
";0;test
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?
";1;test
"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
";1;test
"I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
";0;test
"Do you like shaking your booty on the dance floor?
";0;test
"Then i buy.
";0;test
"Armand says get your ass over to epsilon
";0;test
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
";1;test
"Lol its ok I didn't remember til last nite
";0;test
"Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
";0;test
"I think that tantrum's finished so yeah I'll be by at some point
";0;test
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@
";0;test
"Wot is u up 2 then bitch?
";0;test
"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ
";0;test
"I wil be there with in  &lt;#&gt;  minutes. Got any space
";0;test
"We will meet soon princess! Ttyl!
";0;test
"Were trying to find a Chinese food place around here
";0;test
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
";0;test
"Huh i cant thk of more oredi how many pages do we have?
";0;test
"You'll never believe this but i have actually got off at taunton. Wow
";0;dev
"Me n him so funny...
";0;test
"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
";1;test
"Take some small dose tablet for fever
";0;test
"He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
";0;test
"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!
";0;test
"Went to ganesh dress shop
";0;test
"I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
";0;test
"Can you just come in for a sec? There's somebody here I want you to see
";0;test
"K go and sleep well. Take rest:-).
";0;test
"Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
";1;test
"You tell what happen dont behave like this to me. Ok no need to say
";0;dev
"That is wondar full flim.
";0;test
"Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
";1;test
"You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
";1;dev
"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D
";0;test
"R u sure they'll understand that! Wine * good idea just had a slurp!
";0;test
"87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
";1;dev
"I dont thnk its a wrong calling between us
";0;test
"How are you with moneY...as in to you...money aint a thing....how are you sha!
";0;test
"Bought one ringtone and now getting texts costing 3 pound offering more tones etc
";1;test
"I asked you to call him now ok
";0;test
"Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
";1;test
